Timestamp,SensorData
130974109,53111,1.38,0.45,9.34
53124,1.42,0.46,9.33
53137,1.40,0.47,9.33
53150,1.41,0.46,9.35
53163,1.41,0.45,9.33
53176,1.36,0.46,9.35
53189,1.39,0.47,9.37
53202,1.37,0.46,9.38
53215,1.41,0.45,9.37
53228,1.40,0.46,9.36
53241,1.41,0.46,9.37
53254,1.41,0.
130974109,48,9.37
53267,1.40,0.46,9.35
53280,1.41,0.48,9.36
53293,1.39,0.45,9.36
53306,1.40,0.45,9.37
53319,1.37,0.46,9.37
53332,1.39,0.44,9.38
53345,1.38,0.47,9.39
53358,1.40,0.45,9.35
53371,1.39,0.44,9.36
53384,1.39,0.46,9.33
53397,1.41,0.46,9.35
5341
130974109,0,1.39,0.46,9.36
53423,1.41,0.46,9.35
53436,1.40,0.44,9.38
53449,1.42,0.44,9.35
53462,1.39,0.45,9.37
53475,1.39,0.44,9.34
53488,1.39,0.43,9.36
53501,1.39,0.44,9.35
53514,1.41,0.44,9.35
53527,1.39,0.44,9.35
53540,1.41,0.45,9.36
53553,1.39,0.43,9
130974109,.33
53566,1.43,0.44,9.31
53579,1.41,0.44,9.32
53592,1.40,0.44,9.35
53605,1.38,0.45,9.37
53618,1.39,0.44,9.36
53631,1.39,0.44,9.37
53644,1.40,0.45,9.31
53657,1.40,0.44,9.34
53670,1.39,0.46,9.34
53683,1.40,0.43,9.36
53696,1.38,0.45,9.35
53709,1.
130974109,41,0.45,9.35
53722,1.40,0.45,9.36
53735,1.40,0.46,9.34
53748,1.39,0.46,9.38
53761,1.39,0.46,9.34
53774,1.41,0.46,9.32
53787,1.37,0.45,9.36
53800,1.42,0.48,9.33
53813,1.40,0.44,9.34
53826,1.39,0.46,9.34
53839,1.39,0.45,9.34
53852,1.43,0.46,9.29
130974109,
53865,1.17,0.53,11.14
53878,1.13,0.52,10.27
53891,1.33,0.61,9.80
53904,1.34,0.62,9.69
53917,1.36,0.63,9.53
53930,1.37,0.60,9.56
53943,1.38,0.57,9.66
53956,1.40,0.43,9.90
53969,1.28,-0.00,10.01
53982,1.22,0.74,8.33
53995,1.58,0.31,8.49
54008,1.
130974125,40,0.47,9.28
54021,1.40,0.46,9.36
54034,1.41,0.47,9.33
54047,1.38,0.46,9.34
54060,1.41,0.48,9.34
54073,1.37,0.45,9.38
54086,1.38,0.47,9.40
54099,1.37,0.45,9.37
54112,1.37,0.44,9.35
54125,1.41,0.45,9.31
54138,1.39,0.46,9.35
54151,-0.34,-0.78,0.2
130974125,7
54164,1.54,0.74,11.62
54177,1.19,0.54,9.82
54190,1.36,0.70,9.57
54203,1.37,0.60,9.39
54216,1.34,0.59,9.44
54229,1.35,0.62,9.47
54242,1.35,0.62,9.47
54255,1.37,0.64,9.63
54268,1.42,0.63,9.66
54281,1.35,0.55,10.03
54294,0.99,0.23,10.02
54307,1
130974125,.32,0.45,8.08
54320,1.56,0.42,8.54
54333,1.39,0.45,9.28
54346,1.37,0.47,9.44
54359,1.37,0.48,9.31
54372,1.35,0.47,9.36
54385,1.39,0.48,9.40
54398,1.39,0.44,9.38
54411,1.39,0.45,9.35
54424,1.39,0.45,9.35
54437,2.81,1.28,-3.57
54450,1.62,0.72,12.
130974125,15
54463,1.32,0.57,9.76
54476,1.49,0.72,9.57
54489,1.39,0.64,9.43
54502,1.39,0.65,9.48
54515,1.37,0.66,9.49
54528,1.32,0.66,9.57
54541,1.35,0.66,9.62
54554,1.41,0.59,10.01
54567,0.90,0.05,10.79
54580,1.36,0.61,8.02
54593,1.41,0.45,8.11
54606,1
130974125,.39,0.44,9.33
54619,1.41,0.48,9.36
54632,1.36,0.47,9.31
54645,1.37,0.49,9.31
54658,1.35,0.46,9.39
54671,1.38,0.48,9.38
54684,1.36,0.48,9.38
54697,1.38,0.46,9.36
54710,1.79,0.63,-1.85
54723,1.57,0.70,11.86
54736,1.34,0.61,9.80
54749,1.47,0.71,9.
130974140,64
54762,1.39,0.64,9.41
54775,1.36,0.65,9.44
54788,1.39,0.67,9.41
54801,1.31,0.65,9.49
54814,1.34,0.67,9.55
54827,1.36,0.69,9.61
54840,1.20,0.62,9.94
54853,1.02,0.54,10.16
54866,1.42,0.49,8.68
54879,1.27,0.50,8.04
54892,1.39,0.46,9.41
54905,1.
130974140,38,0.51,9.31
54918,1.38,0.48,9.34
54931,1.38,0.49,9.35
54944,1.38,0.46,9.36
54957,1.36,0.44,9.36
54970,1.38,0.48,9.38
54983,1.35,0.47,9.35
54996,1.40,0.50,9.34
55009,0.70,-0.29,13.65
55022,1.18,0.71,10.57
55035,1.29,0.72,9.72
55048,1.38,0.75,9.
130974140,57
55061,1.40,0.68,9.39
55074,1.39,0.69,9.44
55087,1.33,0.61,9.58
55100,1.33,0.53,9.63
55113,1.37,0.51,9.83
55126,1.33,0.21,10.26
55139,1.14,0.90,9.70

130974156,5
130974156,5152,1.51,0.52,7.58

130974171,5
130974171,5165,1.52,0.50,9.24

130974187,5
130974187,5178,1.36,0.49,9.20

130974187,5
130974203,5191,1.41,0.45,9.34

130974203,5
130974203,5204,1.38,0.50,9.34

130974218,5
130974218,5217,1.36,0.48,9.36

130974234,5
130974234,5230,1.36,0.49,9.32

130974250,5
130974250,5243,1.36,0.46,9.35

130974265,5
130974265,5256,1.37,0.47,9.37

130974265,5
130974265,5269,1.36,0.47,9.37

130974281,5
130974281,5282,2.20,1.06,7.37

130974296,5
130974296,5295,1.32,0.69,14.07

130974312,5
130974312,5308,1.46,0.74,10.13

130974328,5
130974328,5321,1.54,0.74,9.82

130974343,5
130974343,5334,1.34,0.57,9.28

130974343,5
130974359,5347,1.38,0.69,9.38

130974359,5
130974359,5360,1.38,0.65,9.43

130974375,5
130974375,5373,1.28,0.66,9.62

130974390,5
130974390,5386,1.34,0.70,9.76

130974406,5
130974406,5399,1.49,0.61,9.97

130974421,5
130974421,5412,1.42,0.22,10.46

130974421,5
130974421,5425,1.04,0.91,8.46

130974437,5
130974437,5438,1.55,0.49,7.82

130974453,5
130974453,5451,1.44,0.50,9.35

130974468,5
130974468,5464,1.42,0.49,9.24

130974484,5
130974484,5477,1.39,0.47,9.27

130974500,5
130974500,5490,1.41,0.49,9.34

130974500,5
130974500,5503,1.36,0.48,9.39

130974515,5
130974515,5516,1.39,0.47,9.37

130974531,5
130974531,5529,1.34,0.48,9.41

130974546,5
130974546,5542,1.39,0.48,9.37

130974562,5
130974562,5555,-0.17,-0.20,-6.99

130974578,5
130974578,5568,1.68,1.05,12.33

130974578,5
130974578,5581,1.27,0.62,10.02

130974593,5
130974593,5594,1.36,0.78,9.66

130974609,5
130974609,5607,1.33,0.66,9.40

130974625,5
130974625,5620,1.30,0.66,9.39

130974640,5
130974640,5633,1.33,0.72,9.43

130974656,5
130974656,5646,1.29,0.69,9.58

130974656,5
130974656,5659,1.33,0.70,9.65

130974671,5
130974671,5672,1.28,0.75,10.04

130974687,5
130974687,5685,0.94,0.29,10.53

130974703,5
130974703,5698,1.77,0.50,8.57

130974718,5
130974718,5711,1.34,0.68,7.66

130974734,5
130974734,5724,1.43,0.49,9.40

130974734,5
130974734,5737,1.38,0.52,9.26

130974750,5
130974750,5750,1.42,0.48,9.30

130974765,5
130974765,5763,1.40,0.49,9.33

130974781,5
130974781,5776,1.39,0.48,9.36

130974796,5
130974796,5789,1.38,0.50,9.38

130974812,5
130974812,5802,1.36,0.48,9.38

130974812,5
130974812,5815,1.38,0.48,9.42

130974828,5
130974828,5828,1.88,0.78,8.08

130974843,5
130974843,5841,1.21,0.58,14.33

130974859,5
130974859,5854,1.36,0.70,10.10

130974875,5
130974875,5867,1.52,0.82,9.90

130974890,5
130974890,5880,1.33,0.63,9.35

130974890,5
130974890,5893,1.35,0.73,9.36

130974906,5
130974906,5906,1.38,0.70,9.45

130974921,5
130974921,5919,1.27,0.67,9.60

130974937,5
130974937,5932,1.33,0.74,9.79

130974953,5
130974953,5945,1.38,0.77,10.06

130974968,5
130974968,5958,1.29,0.31,10.45

130974968,5
130974968,5971,1.43,0.41,8.29

130974984,5
130974984,5984,1.46,0.67,7.84

130975000,5
130975000,5997,1.46,0.52,9.38

130975015,5
130975015,6010,1.41,0.51,9.29

130975031,5
130975031,6023,1.41,0.51,9.26

130975046,5
130975046,6036,1.37,0.48,9.29

130975046,5
130975046,6049,1.39,0.48,9.32

130975062,5
130975062,6062,1.38,0.49,9.39

130975078,5
130975078,6075,1.36,0.46,9.38

130975093,5
130975093,6088,1.37,0.48,9.36

130975109,5
130975109,6101,1.38,0.47,9.37

130975125,5
130975125,6114,-0.36,-1.09,-4.63

130975125,5
130975125,6127,1.86,1.02,12.17

130975140,5
130975140,6140,1.50,0.89,9.95

130975156,5
130975156,6153,1.41,0.95,9.82

130975171,5
130975171,6166,1.35,0.70,9.50

130975187,5
130975187,6179,1.38,0.68,9.44

130975203,5
130975203,6192,1.42,0.77,9.55

130975203,5
130975203,6205,1.42,0.71,9.66

130975218,5
130975218,6218,1.50,0.76,9.82

130975234,5
130975234,6231,1.29,0.42,10.23

130975250,5
130975250,6244,1.03,0.66,8.99

130975265,5
130975265,6257,1.46,0.38,7.78

130975281,5
130975281,6270,1.47,0.54,9.36

130975281,5
130975281,6283,1.40,0.48,9.22

130975296,5
130975296,6296,1.40,0.48,9.28

130975312,5
130975312,6309,1.43,0.53,9.30

130975328,5
130975328,6322,1.38,0.47,9.37

130975343,5
130975343,6335,1.40,0.49,9.36

130975359,5
130975359,6348,1.38,0.48,9.36

130975359,5
130975359,6361,1.39,0.48,9.39

130975375,5
130975375,6374,1.38,0.50,9.40

130975390,5
130975390,6387,1.39,0.49,9.36

130975406,5
130975406,6400,1.39,0.48,9.35

130975421,5
130975421,6413,1.39,0.48,9.33

130975437,5
130975437,6426,1.98,1.56,-3.89

130975437,5
130975437,6439,2.03,1.16,12.18

130975453,5
130975453,6452,1.46,0.78,9.91

130975468,5
130975468,6465,1.41,0.80,9.82

130975484,5
130975484,6478,1.33,0.66,9.43

130975500,5
130975500,6491,1.34,0.72,9.38

130975500,5
130975500,6504,1.37,0.70,9.47

130975515,5
130975515,6517,1.33,0.68,9.54

130975531,5
130975531,6530,1.39,0.68,9.65

130975546,5
130975546,6543,1.50,0.66,10.05

130975562,5
130975562,6556,1.54,0.25,10.39

130975578,5
130975578,6569,1.00,1.43,9.00

130975593,5
130975593,6582,1.40,0.38,7.49

130975593,5
130975593,6595,1.50,0.48,9.33

130975609,5
130975609,6608,1.41,0.45,9.25

130975625,5
130975625,6621,1.40,0.48,9.32

130975640,5
130975640,6634,1.39,0.51,9.31

130975656,5
130975656,6647,1.36,0.46,9.39

130975656,5
130975656,6660,1.38,0.46,9.38

130975671,5
130975671,6673,1.36,0.47,9.35

130975687,5
130975687,6686,1.39,0.46,9.37

130975703,5
130975703,6699,1.41,0.50,9.34

130975718,5
130975718,6712,0.63,-1.38,16.01

130975734,5
130975734,6725,1.59,1.02,11.02

