gesture,ax,ay,az,gx,gy,gz
left,1.67,0.13,9.44,0.13,0.02,0.02
left,1.58,0.33,9.57,0.15,0.02,0.02
left,1.46,0.57,9.37,0.21,0.02,0.0
left,1.36,0.7,9.17,0.45,0.03,-0.07
left,1.39,0.8,9.39,0.8,0.05,-0.14
left,1.48,1.01,9.86,1.17,0.09,-0.22
left,1.65,1.05,10.38,1.4,0.13,-0.26
left,1.9,1.05,10.64,1.55,0.17,-0.28
left,2.07,1.21,10.67,1.69,0.2,-0.27
left,2.09,1.63,10.88,1.92,0.24,-0.27
left,1.77,2.52,10.39,2.27,0.32,-0.31
left,1.71,2.74,10.74,2.58,0.36,-0.42
left,1.31,3.22,10.17,2.89,0.39,-0.51
left,1.19,3.56,10.04,3.25,0.43,-0.61
left,1.19,3.62,10.04,3.31,0.43,-0.64
left,1.24,3.35,9.26,3.26,0.42,-0.62
left,1.03,3.28,7.47,3.38,0.43,-0.57
left,0.82,3.68,5.78,3.92,0.39,-0.54
left,0.53,4.77,4.71,4.69,0.32,-0.58
left,0.32,6.11,4.84,5.48,0.25,-0.67
left,0.33,7.16,5.7,5.84,0.18,-0.76
left,0.45,7.64,6.24,5.81,0.12,-0.82
left,0.71,7.81,6.63,5.53,0.08,-0.78
left,0.44,8.32,5.57,5.12,0.05,-0.75
left,0.31,8.39,4.06,4.99,-0.02,-0.76
left,0.03,8.7,1.79,5.19,-0.1,-0.81
left,0.09,9.23,1.53,5.89,-0.2,-0.89
left,0.5,10.67,5.31,6.05,-0.19,-0.9
left,0.85,11.09,8.96,4.9,-0.02,-0.8
left,0.96,9.43,8.38,2.99,0.18,-0.57
left,0.62,7.76,4.64,1.5,0.31,-0.19
left,-0.26,8.14,0.76,1.07,0.35,0.1
left,-1.06,10.23,-0.48,1.31,0.29,0.1
left,-1.25,11.22,0.23,1.52,0.23,-0.11
left,-1.15,10.54,0.87,1.51,0.22,-0.33
left,-0.52,9.09,1.04,1.33,0.24,-0.37
left,-0.4,8.34,0.34,1.17,0.27,-0.27
left,-0.6,8.73,-0.62,1.11,0.29,-0.19
left,-0.89,9.22,-0.79,1.05,0.24,-0.2
left,-0.86,8.96,-0.72,0.86,0.17,-0.24
left,-0.76,8.24,-0.76,0.66,0.12,-0.24
left,-0.51,7.87,-0.44,0.49,0.09,-0.16
left,-0.49,7.75,-0.42,0.26,0.09,-0.05
left,-0.67,8.02,-1.11,0.29,0.11,0.04
left,-0.69,9.04,-0.77,0.4,0.1,0.07
left,-0.77,9.7,-0.12,0.28,0.07,0.04
left,-0.64,9.45,-0.44,0.07,0.04,0.03
left,-0.6,9.25,-0.78,0.07,0.01,0.05
left,-0.54,9.82,-0.53,0.18,0.02,0.06
left,-0.49,10.34,0.12,0.18,0.01,0.05
left,-0.49,9.98,0.03,0.06,0.0,0.03
left,-0.44,9.84,-0.01,0.05,-0.0,0.04
left,-0.49,10.08,0.27,-0.01,-0.01,0.04
left,-0.44,10.15,-0.12,-0.02,-0.0,0.02
left,-0.49,10.18,-0.16,0.06,-0.0,-0.0
left,-0.45,10.26,0.55,0.05,0.01,-0.03
left,-0.5,9.89,0.51,-0.13,0.03,-0.03
left,-0.45,9.14,-0.2,-0.19,0.03,-0.0
left,-0.4,9.45,-0.31,-0.04,0.05,0.04
left,-0.52,9.99,0.23,-0.04,0.06,0.02
left,-0.42,9.72,0.08,-0.11,0.07,-0.0
left,-0.49,9.62,-0.11,-0.13,0.08,0.0
left,-0.56,9.96,-0.08,-0.17,0.07,0.0
left,-0.52,9.83,-0.5,-0.21,0.06,-0.02
left,-0.55,9.67,-0.8,-0.09,0.05,-0.01
left,-0.61,10.03,-0.39,0.02,0.06,-0.03
left,-0.6,10.03,-0.15,-0.01,0.06,-0.05
left,-0.54,9.73,-0.18,-0.06,0.06,-0.05
left,-0.6,9.52,-0.38,-0.09,0.06,-0.03
left,-0.63,9.44,-0.64,-0.08,0.05,-0.01
left,-0.57,9.57,-0.44,-0.02,0.04,-0.0
left,-0.59,9.59,-0.47,-0.02,0.04,-0.0
left,-0.57,9.61,-0.39,0.01,0.03,0.01
left,-0.58,9.75,-0.0,-0.06,0.03,0.02
left,-0.64,9.62,-0.18,-0.2,0.03,0.01
left,-0.63,9.41,-0.53,-0.19,0.02,0.02
left,-0.59,9.57,-0.34,-0.14,0.01,0.02
left,-0.62,9.69,-0.11,-0.15,0.01,0.01
left,-0.62,9.47,-0.43,-0.14,0.02,0.01
left,-0.61,9.55,-0.29,-0.07,0.01,0.02
left,-0.55,9.6,0.01,-0.08,0.02,0.03
left,-0.51,9.5,-0.13,-0.11,0.03,0.05
left,-0.58,9.65,-0.28,-0.05,0.04,0.06
left,-0.66,10.13,0.11,-0.08,0.03,0.03
left,-0.61,9.9,-0.01,-0.18,0.01,-0.01
left,-0.58,9.61,-0.26,-0.16,0.0,-0.0
left,-0.56,9.82,0.1,-0.12,0.01,-0.0
left,-0.58,9.79,0.14,-0.19,0.01,-0.0
left,-0.58,9.59,-0.27,-0.17,0.01,0.01
left,-0.58,9.68,-0.2,-0.1,0.01,0.01
left,-0.57,9.78,-0.03,-0.08,0.0,0.0
left,-0.64,9.71,-0.16,-0.11,-0.01,-0.01
left,-0.64,9.63,-0.21,-0.05,-0.01,-0.01
left,-0.61,9.65,0.23,-0.06,-0.0,-0.01
left,-0.53,9.37,0.15,-0.12,0.01,0.01
left,-0.56,9.38,-0.07,-0.11,0.02,0.04
left,-0.59,9.66,0.08,-0.07,0.03,0.05
left,-0.6,9.74,0.16,-0.12,0.03,0.05
left,-0.69,9.64,-0.28,-0.13,0.02,0.04
left,-0.66,9.74,-0.23,-0.04,0.0,0.02
left,-0.58,9.93,0.29,-0.03,0.0,0.0
left,-0.49,9.65,0.22,-0.08,0.02,0.0
left,-0.51,9.51,0.03,-0.07,0.02,0.03
left,-0.61,9.76,0.18,-0.06,0.02,0.04
left,-0.64,9.82,0.29,-0.12,0.01,0.04
left,-0.62,9.67,-0.03,-0.14,0.01,0.03
left,-0.6,9.76,0.01,-0.08,0.01,0.02
left,-0.57,9.77,0.22,-0.08,0.02,0.01
left,-0.53,9.61,0.09,-0.09,0.02,0.01
left,-0.53,9.71,0.18,-0.07,0.02,0.02
left,-0.57,9.84,0.36,-0.11,0.02,0.02
left,-0.54,9.58,0.31,-0.16,0.02,0.03
left,-0.56,9.5,0.02,-0.12,0.03,0.04
left,-0.6,9.77,0.13,-0.05,0.03,0.04
left,-0.55,9.89,0.42,-0.06,0.02,0.02
left,-0.57,9.76,0.49,-0.13,0.03,0.01
left,-0.59,9.6,0.15,-0.19,0.03,0.01
left,-0.63,9.52,-0.05,-0.16,0.02,0.02
left,-0.62,9.76,0.19,-0.12,0.02,0.01
left,-0.6,9.8,0.3,-0.14,0.01,-0.01
left,-0.58,9.71,0.32,-0.17,0.01,-0.01
left,-0.6,9.71,0.57,-0.26,0.02,-0.01
left,-0.61,9.63,0.77,-0.44,0.02,0.01
left,-0.57,9.58,0.93,-0.73,0.03,0.03
left,-0.57,9.51,1.23,-1.09,0.03,0.08
left,-0.54,9.48,1.74,-1.63,0.03,0.13
left,-0.57,9.39,1.7,-2.29,-0.0,0.2
left,-0.79,9.23,1.13,-2.87,-0.07,0.26
left,-1.0,8.71,0.58,-3.26,-0.12,0.27
left,-0.83,7.98,0.93,-3.48,-0.15,0.35
left,-0.46,7.56,1.38,-3.62,-0.11,0.48
left,-0.15,7.37,2.09,-3.83,-0.12,0.68
left,0.49,7.62,3.75,-4.2,-0.12,0.93
left,0.41,8.46,4.8,-4.88,-0.1,1.18
left,0.13,9.14,4.31,-5.41,-0.12,1.31
left,-0.26,9.56,2.99,-5.35,-0.15,1.21
left,-0.15,9.36,3.35,-4.78,-0.25,0.98
left,0.07,8.74,4.9,-4.24,-0.32,0.74
left,0.44,7.7,6.68,-3.91,-0.35,0.6
left,0.83,6.81,8.45,-3.84,-0.32,0.6
left,1.1,6.11,9.43,-4.08,-0.26,0.7
left,1.15,5.6,9.47,-4.34,-0.2,0.83
left,1.12,5.32,8.94,-4.42,-0.17,0.91
left,1.01,5.19,8.31,-4.25,-0.16,0.88
left,1.25,4.47,7.92,-3.76,-0.18,0.78
left,1.41,4.35,9.27,-3.24,-0.16,0.67
left,1.9,3.95,11.97,-3.2,-0.1,0.62
left,2.1,3.29,13.21,-4.0,-0.01,0.74
left,1.82,2.32,11.38,-4.84,0.02,0.95
left,1.08,1.86,8.96,-5.09,0.0,1.07
left,0.62,1.55,7.0,-4.58,-0.02,1.0
left,0.55,1.14,6.59,-3.58,-0.02,0.79
left,0.66,0.79,7.2,-2.64,-0.04,0.54
left,0.94,0.44,8.36,-1.96,-0.01,0.34
left,1.25,0.17,10.06,-1.69,0.04,0.22
left,1.64,-0.47,11.09,-1.93,0.12,0.23
left,1.5,-1.01,10.45,-2.37,0.15,0.33
left,1.13,-1.16,8.88,-2.53,0.16,0.35
left,0.91,-1.3,7.1,-2.14,0.11,0.29
left,0.8,-0.9,6.96,-1.42,0.04,0.11
left,1.17,-1.38,7.48,-0.71,-0.03,-0.05
left,1.43,-1.58,8.57,-0.08,-0.04,-0.13
left,1.58,-1.51,9.76,0.23,-0.02,-0.17
left,1.67,-1.77,10.18,0.2,-0.01,-0.14
left,1.57,-1.79,10.08,0.04,-0.01,-0.07
left,1.39,-1.69,9.63,-0.1,-0.04,-0.03
left,1.37,-1.5,9.23,-0.09,-0.04,-0.02
left,1.3,-1.19,9.09,0.05,-0.04,-0.06
left,1.36,-1.19,9.29,0.2,-0.04,-0.11
left,1.45,-1.08,9.78,0.28,-0.03,-0.15
left,1.45,-1.11,9.9,0.2,-0.01,-0.17
left,1.47,-1.24,9.66,0.1,-0.0,-0.16
left,1.57,-1.45,9.49,0.08,0.0,-0.14
left,1.51,-1.4,9.27,0.15,0.01,-0.12
left,1.36,-1.18,9.16,0.25,0.01,-0.13
left,1.34,-1.19,9.34,0.35,0.0,-0.16
left,1.4,-1.12,9.7,0.37,0.0,-0.18
left,1.56,-1.43,9.9,0.26,0.0,-0.17
left,1.59,-1.66,9.82,0.13,0.01,-0.11
left,1.43,-1.52,9.46,0.0,0.01,-0.05
left,1.4,-1.64,8.97,-0.02,-0.0,-0.03
left,1.38,-1.61,8.71,0.1,-0.0,-0.03
left,1.39,-1.42,8.84,0.24,-0.01,-0.05
left,1.54,-1.55,9.11,0.36,-0.01,-0.06
left,1.62,-1.47,9.77,0.38,-0.0,-0.03
left,1.63,-1.19,10.06,0.26,0.0,0.02
left,1.56,-1.18,9.96,0.1,0.0,0.07
left,1.5,-0.99,9.64,0.04,0.02,0.09
left,1.41,-0.77,9.32,0.06,0.02,0.09
left,1.46,-0.75,9.24,0.14,0.02,0.05
left,1.54,-0.7,9.34,0.2,0.01,0.03
left,1.65,-0.81,9.69,0.2,0.01,0.01
left,1.74,-0.95,9.7,0.14,0.01,0.03
left,1.62,-0.93,9.73,0.1,0.01,0.07
left,1.49,-0.77,9.56,0.06,0.01,0.09
left,1.39,-0.74,9.37,0.06,0.01,0.08
left,1.41,-0.76,9.33,0.05,0.01,0.07
left,1.51,-0.85,9.31,0.04,-0.01,0.06
left,1.53,-0.88,9.34,0.03,-0.02,0.07
left,1.56,-0.8,9.38,0.04,-0.01,0.06
left,1.56,-0.74,9.55,0.04,-0.0,0.05
left,1.57,-0.71,9.61,-0.0,0.01,0.05
left,1.5,-0.67,9.46,-0.03,0.01,0.05
left,1.51,-0.7,9.31,-0.0,0.01,0.04
left,1.47,-0.63,9.42,0.07,0.01,0.03
left,1.49,-0.6,9.54,0.11,0.02,0.01
left,1.5,-0.68,9.5,0.13,0.01,-0.01
left,1.54,-0.8,9.57,0.11,0.01,-0.01
left,1.58,-0.79,9.53,0.09,0.01,0.0
left,1.56,-0.84,9.45,0.05,0.02,0.01
left,1.61,-0.82,9.33,0.06,0.01,0.03
left,1.51,-0.62,9.38,0.08,0.01,0.02
left,1.56,-0.58,9.34,0.1,0.0,0.01
left,1.53,-0.63,9.36,0.14,0.01,-0.0
left,1.54,-0.62,9.51,0.16,0.01,-0.01
left,1.61,-0.62,9.76,0.1,0.01,-0.01
left,1.67,-0.72,9.69,0.03,0.02,0.01
left,1.67,-0.67,9.57,0.0,0.03,0.03
left,1.55,-0.46,9.38,0.02,0.03,0.04
left,1.46,-0.26,9.29,0.06,0.02,0.02
left,1.45,-0.31,9.33,0.09,0.01,-0.01
left,1.57,-0.49,9.37,0.11,0.01,-0.03
left,1.67,-0.66,9.48,0.13,0.01,-0.03
left,1.71,-0.58,9.56,0.13,0.02,-0.01
left,1.73,-0.44,9.67,0.1,0.02,0.02
left,1.66,-0.1,9.95,0.01,0.03,0.04
left,1.64,-0.02,9.77,-0.11,0.03,0.03
left,1.62,-0.12,9.67,-0.16,0.03,0.03
left,1.51,-0.08,9.41,-0.15,0.04,0.02
left,1.55,-0.2,9.2,-0.1,0.03,-0.01
left,1.57,-0.36,9.37,-0.01,0.02,-0.03
left,1.61,-0.42,9.54,0.05,0.03,-0.04
left,1.59,-0.46,9.65,0.04,0.03,-0.04
left,1.61,-0.5,9.67,0.04,0.04,-0.05
left,1.67,-0.63,9.56,0.09,0.05,-0.06
left,1.68,-0.72,9.28,0.27,0.07,-0.1
left,1.71,-0.76,9.31,0.64,0.1,-0.15
left,1.68,-0.51,9.75,1.04,0.13,-0.21
left,1.66,-0.3,10.27,1.33,0.17,-0.26
left,1.7,-0.27,10.62,1.53,0.22,-0.3
left,1.78,-0.1,10.73,1.71,0.3,-0.31
left,1.66,0.29,10.3,1.93,0.36,-0.34
left,1.6,0.58,10.01,2.31,0.43,-0.41
left,1.56,0.95,9.46,2.74,0.45,-0.47
left,1.35,1.52,9.56,3.26,0.49,-0.54
left,1.16,2.16,8.98,3.76,0.53,-0.65
left,0.97,2.87,8.57,4.5,0.61,-0.78
left,1.08,4.03,9.14,5.23,0.7,-0.94
left,1.0,4.78,8.92,5.72,0.78,-1.07
left,0.86,5.42,8.26,6.1,0.75,-1.16
left,0.68,6.3,8.37,6.4,0.75,-1.22
left,0.53,7.12,8.17,6.61,0.79,-1.26
left,0.22,7.66,7.07,6.68,0.78,-1.3
left,-0.12,8.08,5.81,6.76,0.69,-1.31
left,-0.41,8.41,4.59,6.85,0.55,-1.31
left,-0.68,9.23,4.64,7.01,0.5,-1.33
left,-0.46,9.42,4.98,6.81,0.5,-1.33
left,-0.28,8.64,3.6,6.51,0.46,-1.21
left,-0.35,9.18,4.07,6.14,0.45,-1.01
left,-0.55,9.67,4.76,5.14,0.41,-0.82
left,-0.57,9.46,5.29,3.66,0.4,-0.61
left,-0.75,8.47,3.43,2.14,0.4,-0.4
left,-0.84,7.2,0.43,1.35,0.37,-0.19
left,-1.27,7.75,-1.1,1.35,0.36,-0.06
left,-1.6,9.05,-0.24,1.32,0.3,-0.07
left,-1.66,9.11,0.44,0.94,0.28,-0.15
left,-1.57,7.83,-0.7,0.59,0.26,-0.16
left,-1.57,7.42,-1.34,0.52,0.23,-0.09
left,-1.55,7.7,-1.1,0.43,0.17,-0.0
left,-1.5,7.88,-1.05,0.3,0.14,0.05
left,-1.4,8.19,-0.96,0.23,0.13,0.11
left,-1.37,8.76,-0.6,0.05,0.11,0.14
left,-1.23,8.85,-0.98,-0.17,0.09,0.15
left,-1.08,8.7,-1.89,-0.14,0.05,0.16
left,-0.97,9.4,-1.23,0.07,0.02,0.18
left,-0.96,10.24,-0.25,-0.01,-0.0,0.16
left,-0.92,10.07,-0.11,-0.26,-0.02,0.15
left,-1.08,9.71,-1.14,-0.3,-0.03,0.15
left,-1.26,10.15,-0.87,-0.08,-0.06,0.15
left,-1.37,10.81,0.17,-0.01,-0.06,0.09
left,-1.35,10.4,0.36,-0.12,-0.05,0.03
left,-1.23,9.92,0.17,-0.16,-0.03,0.01
left,-1.16,9.82,-0.19,-0.14,-0.04,0.03
left,-1.1,9.94,-0.24,-0.03,-0.03,0.03
left,-1.11,10.25,0.09,0.04,-0.02,0.01
left,-1.11,10.05,0.21,-0.01,-0.01,-0.03
left,-1.02,9.61,0.2,-0.07,-0.0,-0.04
left,-1.01,9.36,0.04,-0.08,0.0,-0.01
left,-1.14,9.44,0.08,-0.06,0.01,0.01
left,-1.16,9.42,0.23,-0.09,0.03,0.01
left,-1.18,9.23,-0.24,-0.14,0.02,0.02
left,-1.16,9.23,-0.4,-0.06,0.01,0.02
left,-1.16,9.46,-0.03,-0.02,0.01,0.02
left,-1.1,9.52,0.17,-0.07,0.02,0.02
left,-1.1,9.36,0.14,-0.14,0.03,0.03
left,-1.13,9.25,-0.02,-0.17,0.03,0.05
left,-1.16,9.4,-0.11,-0.15,0.03,0.06
left,-1.13,9.59,-0.04,-0.13,0.03,0.06
left,-1.02,9.45,-0.08,-0.14,0.03,0.06
left,-1.07,9.41,-0.15,-0.1,0.04,0.08
left,-1.11,9.72,0.09,-0.1,0.04,0.08
left,-1.14,9.85,0.17,-0.16,0.04,0.07
left,-1.19,9.81,-0.09,-0.19,0.05,0.05
left,-1.14,9.79,-0.22,-0.18,0.03,0.04
left,-1.17,9.72,-0.19,-0.14,0.04,0.03
left,-1.08,9.75,-0.15,-0.12,0.03,0.02
left,-1.14,9.8,0.02,-0.13,0.01,0.02
left,-1.16,9.77,0.01,-0.17,0.01,0.01
left,-1.2,9.61,-0.06,-0.19,-0.0,0.0
left,-1.18,9.46,-0.15,-0.15,-0.0,0.01
left,-1.16,9.59,-0.04,-0.11,-0.0,0.01
left,-1.06,9.56,-0.05,-0.11,-0.01,0.01
left,-1.09,9.47,-0.04,-0.1,-0.02,0.02
left,-1.13,9.6,0.09,-0.1,-0.02,0.03
left,-1.12,9.56,0.06,-0.12,-0.03,0.02
left,-1.1,9.36,0.11,-0.12,-0.02,0.04
left,-1.11,9.5,0.11,-0.11,-0.01,0.05
left,-1.09,9.7,0.4,-0.12,0.01,0.05
left,-1.08,9.63,0.05,-0.14,0.02,0.04
left,-1.07,9.67,0.1,-0.1,0.02,0.04
left,-1.08,9.72,0.3,-0.12,0.01,0.04
left,-1.02,9.62,0.21,-0.14,0.0,0.05
left,-1.1,9.84,0.19,-0.12,0.0,0.05
left,-1.09,9.99,0.33,-0.11,-0.0,0.02
left,-1.07,9.85,0.53,-0.15,-0.01,0.0
left,-1.06,9.62,0.6,-0.2,0.0,0.01
left,-1.07,9.61,0.48,-0.25,0.01,0.03
left,-1.1,9.57,0.19,-0.24,0.0,0.03
left,-1.12,9.68,0.24,-0.2,-0.0,0.01
left,-1.07,9.67,0.52,-0.2,-0.0,0.0
left,-1.09,9.59,0.62,-0.29,0.0,0.0
left,-1.03,9.47,0.75,-0.45,-0.01,0.03
left,-0.96,9.39,1.06,-0.66,-0.01,0.07
left,-0.91,9.4,1.03,-0.92,-0.01,0.11
left,-0.97,9.25,0.83,-1.13,-0.02,0.15
left,-1.07,9.25,0.99,-1.28,-0.02,0.18
left,-1.17,9.21,1.3,-1.51,-0.03,0.21
left,-1.15,9.01,1.74,-1.87,-0.05,0.27
left,-1.02,8.6,2.02,-2.37,-0.08,0.37
left,-1.01,8.46,1.63,-2.82,-0.11,0.5
left,-0.82,8.5,1.37,-3.01,-0.12,0.6
left,-0.63,8.67,1.76,-3.07,-0.15,0.68
left,-0.56,9.3,2.78,-3.23,-0.17,0.73
left,-0.46,9.39,3.7,-3.56,-0.19,0.75
left,-0.19,8.86,4.05,-3.94,-0.21,0.81
left,0.02,8.57,4.37,-4.19,-0.2,0.93
left,-0.29,8.76,4.42,-4.34,-0.21,1.02
left,-0.4,8.94,4.87,-4.34,-0.21,1.01
left,-0.51,8.89,5.06,-4.28,-0.23,0.91
left,-0.34,8.38,5.74,-4.14,-0.23,0.78
left,-0.17,7.83,5.9,-4.09,-0.25,0.65
left,0.17,6.78,6.31,-4.03,-0.31,0.58
left,0.38,6.05,6.92,-3.89,-0.31,0.56
left,0.61,5.52,7.76,-3.84,-0.29,0.58
left,0.77,5.14,8.18,-3.86,-0.26,0.6
left,0.8,4.78,8.59,-3.91,-0.23,0.64
left,0.66,4.38,8.3,-3.92,-0.22,0.63
left,0.73,3.86,8.4,-3.83,-0.21,0.61
left,0.73,3.38,8.06,-3.66,-0.21,0.57
left,0.74,3.15,8.37,-3.43,-0.22,0.49
left,1.0,2.43,8.48,-3.16,-0.21,0.42
left,1.18,1.98,8.9,-2.89,-0.21,0.4
left,1.21,2.19,9.53,-2.79,-0.2,0.36
left,1.01,1.89,9.23,-2.67,-0.16,0.26
left,0.88,1.19,8.77,-2.36,-0.12,0.18
left,0.92,0.79,8.4,-1.87,-0.1,0.09
left,0.97,0.59,8.92,-1.36,-0.08,0.03
left,0.83,0.76,9.23,-0.94,-0.05,-0.05
left,1.16,0.53,9.77,-0.77,-0.06,-0.11
left,1.47,-0.06,10.11,-0.72,-0.07,-0.07
left,1.39,-0.07,10.45,-0.75,-0.06,0.02
left,1.31,-0.02,9.86,-0.75,-0.05,0.07
left,1.17,0.12,9.76,-0.66,-0.07,0.09
left,1.18,0.21,9.89,-0.52,-0.05,0.08
left,1.25,0.47,9.8,-0.39,-0.02,0.03
left,1.4,0.35,9.73,-0.27,-0.04,-0.01
left,1.53,0.16,10.03,-0.16,-0.04,-0.01
left,1.55,0.08,10.11,-0.06,-0.03,0.02
left,1.63,0.05,10.32,-0.09,-0.05,0.07
left,1.62,-0.0,10.48,-0.21,-0.06,0.16
left,1.47,0.06,10.23,-0.33,-0.07,0.23
left,1.32,0.17,9.95,-0.38,-0.07,0.25
left,1.24,0.17,9.74,-0.32,-0.04,0.23
left,1.22,0.28,9.58,-0.18,0.01,0.2
left,1.05,0.41,9.7,-0.06,0.04,0.15
left,1.25,0.33,9.53,0.01,0.07,0.21
left,1.24,0.31,9.69,0.01,0.06,0.1
left,1.34,0.01,9.74,-0.1,0.05,0.06
left,1.37,-0.19,9.55,-0.16,0.04,0.09
left,1.18,0.15,9.38,-0.14,0.03,0.09
left,1.18,0.18,9.32,-0.1,0.03,0.04
left,1.2,0.08,9.27,-0.03,0.04,0.01
left,1.22,0.12,9.38,-0.02,0.04,-0.02
left,1.3,-0.21,9.33,-0.03,0.03,-0.03
left,1.24,-0.2,9.46,-0.0,0.03,-0.02
left,1.27,-0.21,9.55,0.02,0.04,-0.02
left,1.22,-0.28,9.6,0.01,0.05,-0.01
left,1.3,-0.39,9.57,-0.01,0.05,0.01
left,1.31,-0.35,9.46,-0.02,0.05,0.03
left,1.33,-0.24,9.46,-0.03,0.04,0.04
left,1.32,-0.09,9.47,-0.04,0.03,0.05
left,1.3,-0.06,9.47,-0.05,0.02,0.04
left,1.3,0.01,9.54,-0.04,0.01,0.04
left,1.26,-0.03,9.64,-0.02,0.02,0.03
left,1.31,-0.11,9.62,-0.01,0.03,0.03
left,1.33,-0.19,9.67,-0.02,0.03,0.04
left,1.29,-0.08,9.64,-0.06,0.03,0.06
left,1.33,-0.05,9.57,-0.09,0.03,0.06
left,1.26,0.04,9.51,-0.07,0.03,0.06
left,1.21,0.24,9.4,-0.03,0.03,0.04
left,1.24,0.21,9.4,0.01,0.03,0.01
left,1.33,0.01,9.46,0.05,0.03,-0.0
left,1.3,0.03,9.65,0.03,0.04,0.01
left,1.31,-0.06,9.57,0.0,0.04,0.02
left,1.3,0.04,9.56,-0.01,0.05,0.04
left,1.26,0.14,9.53,-0.04,0.04,0.04
left,1.26,0.1,9.54,-0.06,0.04,0.03
left,1.22,0.1,9.43,-0.05,0.03,0.02
left,1.22,0.09,9.48,-0.02,0.03,-0.0
left,1.25,-0.06,9.59,-0.0,0.04,-0.02
left,1.31,-0.22,9.58,-0.01,0.04,-0.01
left,1.28,-0.25,9.48,-0.01,0.05,0.01
left,1.27,-0.14,9.5,0.01,0.05,0.01
left,1.32,-0.09,9.61,0.02,0.05,0.01
left,1.34,-0.11,9.66,0.01,0.05,0.02
left,1.39,-0.0,9.71,-0.03,0.04,0.04
left,1.4,-0.01,9.87,-0.08,0.03,0.06
left,1.28,0.13,9.63,-0.13,0.02,0.09
left,1.06,0.26,9.56,-0.13,-0.0,0.08
left,1.12,0.1,9.46,-0.11,0.01,0.04
left,1.16,0.13,9.39,-0.07,0.02,0.02
left,1.24,0.01,9.38,-0.06,0.02,0.01
left,1.38,-0.23,9.26,-0.05,0.01,0.02
left,1.35,-0.28,9.3,-0.02,0.01,0.03
left,1.24,-0.14,9.39,-0.01,0.01,0.03
left,1.25,-0.28,9.37,0.0,0.01,0.02
left,1.24,-0.27,9.54,0.01,0.02,0.01
left,1.32,-0.37,9.59,0.0,0.03,0.01
left,1.36,-0.3,9.55,-0.0,0.02,0.03
left,1.41,-0.11,9.54,0.0,0.01,0.04
left,1.36,0.13,9.67,0.03,0.01,0.03
left,1.34,0.32,9.76,0.01,0.02,0.01
left,1.34,0.15,9.52,-0.02,0.03,-0.01
left,1.23,0.16,9.47,0.01,0.02,-0.01
left,1.28,0.13,9.52,0.03,0.02,-0.03
left,1.33,-0.01,9.59,0.05,0.03,-0.02
left,1.38,0.03,9.49,0.09,0.04,-0.01
left,1.25,0.23,9.51,0.12,0.05,-0.02
left,1.25,0.2,9.5,0.15,0.05,-0.04
left,1.29,0.12,9.58,0.17,0.04,-0.05
left,1.35,0.03,9.38,0.22,0.04,-0.05
left,1.27,0.02,8.64,0.42,0.02,-0.09
left,1.22,0.05,8.42,0.89,0.01,-0.16
left,1.26,0.38,9.01,1.42,0.01,-0.25
left,1.33,0.59,9.92,1.84,0.04,-0.34
left,1.49,0.79,10.73,2.03,0.09,-0.37
left,1.64,0.95,11.5,1.97,0.12,-0.36
left,1.74,0.94,11.92,1.71,0.16,-0.31
left,1.74,0.77,10.93,1.5,0.2,-0.23
left,1.35,1.17,9.52,1.71,0.23,-0.21
left,1.11,2.01,9.18,2.19,0.26,-0.28
left,1.01,2.7,9.53,2.56,0.29,-0.39
left,1.11,2.89,10.0,2.65,0.31,-0.44
left,1.24,2.9,10.11,2.5,0.34,-0.42
left,1.25,3.21,9.89,2.24,0.36,-0.36
left,1.11,3.47,8.26,2.06,0.35,-0.33
left,0.85,3.93,6.78,2.47,0.33,-0.4
left,0.72,5.12,7.03,3.16,0.3,-0.56
left,0.79,5.79,8.58,3.49,0.29,-0.71
left,0.98,5.45,9.45,3.35,0.32,-0.74
left,0.94,5.18,9.04,3.01,0.35,-0.64
left,0.56,5.46,7.33,2.88,0.34,-0.54
left,0.01,6.32,5.34,3.19,0.29,-0.58
left,-0.34,7.49,4.83,3.96,0.23,-0.77
left,-0.36,8.41,5.3,4.66,0.19,-1.03
left,-0.07,8.52,6.05,5.05,0.18,-1.22
left,0.03,8.39,6.26,5.16,0.21,-1.28
left,-0.05,8.56,5.76,5.17,0.25,-1.28
left,-0.33,8.93,4.68,5.12,0.25,-1.27
left,-0.59,8.92,2.92,5.34,0.2,-1.31
left,-0.66,9.34,3.67,5.76,0.18,-1.34
left,-0.1,9.32,6.88,5.46,0.23,-1.2
left,0.09,8.54,8.53,4.0,0.35,-0.87
left,-0.16,6.9,5.46,2.39,0.48,-0.43
left,-0.95,7.19,1.46,1.75,0.52,-0.07
left,-1.66,9.01,0.23,1.7,0.46,-0.0
left,-1.58,9.62,0.89,1.56,0.39,-0.1
left,-1.39,8.75,1.21,1.19,0.36,-0.15
left,-1.18,7.79,0.78,0.83,0.36,-0.08
left,-1.25,7.66,-0.24,0.54,0.34,0.06
left,-1.39,8.46,-1.18,0.54,0.31,0.13
left,-1.5,9.22,-1.16,0.58,0.24,0.09
left,-1.21,9.12,-0.54,0.53,0.19,0.03
left,-0.91,8.75,0.24,0.34,0.18,0.06
left,-0.87,8.63,0.11,-0.02,0.15,0.15
left,-0.94,8.75,-0.77,-0.12,0.12,0.23
left,-1.15,9.57,-0.78,-0.01,0.09,0.22
