acceleration.x,acceleration.y,acceleration.z,gesture
0.61,0.45,9.36,gesture_1
0.73,0.76,10.2,gesture_1
0.72,0.12,9.97,gesture_1
0.57,0.42,9.42,gesture_1
0.82,1.11,9.67,gesture_1
0.65,0.41,9.22,gesture_1
0.91,2.77,-3.72,gesture_1
0.58,0.42,9.97,gesture_1
0.63,0.47,9.29,gesture_1
0.87,3.04,11.05,gesture_1
0.76,1.12,10.01,gesture_1
0.63,0.44,9.3,gesture_1
0.62,0.76,9.77,gesture_1
0.04,2.34,9.88,gesture_1
0.58,0.4,9.43,gesture_1
0.52,0.62,9.38,gesture_1
0.44,0.15,8.17,gesture_1
0.58,0.43,9.45,gesture_1
0.52,0.46,9.32,gesture_1
0.6,0.29,9.04,gesture_1
0.35,-1.25,15.04,gesture_1
0.49,0.4,9.69,gesture_1
0.58,0.42,9.29,gesture_1
0.6,0.78,10.26,gesture_1
0.73,-0.04,10.42,gesture_1
0.58,0.43,9.37,gesture_1
0.4,0.48,9.75,gesture_1
0.44,0.05,8.03,gesture_1
0.58,0.38,9.44,gesture_1
0.57,0.55,9.39,gesture_1
0.64,0.44,9.23,gesture_1
0.6,0.42,9.39,gesture_1
0.44,0.37,9.45,gesture_1
0.47,0.09,9.05,gesture_1
0.58,0.44,9.33,gesture_1
0.52,0.4,9.47,gesture_1
0.42,-0.24,8.67,gesture_1
0.59,0.44,9.32,gesture_1
0.44,0.41,9.48,gesture_1
0.7,0.46,9.42,gesture_1
0.56,0.5,9.82,gesture_1
0.52,0.45,9.79,gesture_1
0.59,0.46,9.29,gesture_1
0.57,0.7,9.94,gesture_1
0.62,0.96,8.48,gesture_1
0.54,0.38,9.42,gesture_1
0.53,0.64,9.43,gesture_1
0.41,0.06,8.29,gesture_1
0.55,0.45,9.41,gesture_1
0.53,0.48,9.42,gesture_1
0.64,0.41,9.17,gesture_1
0.59,0.47,9.34,gesture_1
0.44,0.23,9.66,gesture_1
0.62,0.45,9.21,gesture_1
0.68,-1.13,17.17,gesture_1
0.63,0.53,10,gesture_1
0.58,0.48,9.3,gesture_1
0.61,0.89,10.26,gesture_1
0.82,-0.17,10.29,gesture_1
0.57,0.43,9.35,gesture_1
0.42,0.5,9.39,gesture_1
0.52,0.6,9.8,gesture_1
0.59,0.5,9.3,gesture_1
0.41,0.64,9.51,gesture_1
0.6,0.33,8.51,gesture_1
0.55,0.42,9.45,gesture_1
0.52,0.44,9.35,gesture_1
0.62,1.38,8.14,gesture_1
0.52,0.41,9.42,gesture_1
0.5,0.51,9.33,gesture_1
0.06,-0.1,9.89,gesture_1
0.55,0.45,9.4,gesture_1
0.39,0.74,9.45,gesture_1
0.37,0.08,8.81,gesture_1
0.57,0.46,9.39,gesture_1
0.44,0.63,9.42,gesture_1
0.55,0.4,9.07,gesture_1
0.56,0.47,9.36,gesture_1
0.46,1.02,10,gesture_1
0.57,0.48,9.18,gesture_1
0.53,0.48,9.44,gesture_1
0.16,2.36,9.32,gesture_1
0.58,0.49,9.11,gesture_1
0.57,0.48,9.35,gesture_1
0.44,0.43,9.3,gesture_1
0.65,0.64,9.92,gesture_1
0.57,0.48,9.38,gesture_1
0.52,0.84,10.55,gesture_1
0.61,-0.12,10.21,gesture_1
0.57,0.47,9.41,gesture_1
0.46,0.51,9.22,gesture_1
0.59,0.49,9.33,gesture_1
0.55,0.43,9.42,gesture_1
0.47,0.55,9.57,gesture_1
0.62,0.5,9.26,gesture_1
0.58,-4.48,19.61,gesture_1
0.31,0.43,9.61,gesture_1
0.53,0.38,9.15,gesture_1
0.58,0.46,9.32,gesture_1
0.38,0.38,9.53,gesture_1
0.59,0.48,9.25,gesture_1
0.75,1.34,9.81,gesture_1
0.51,0.25,10.4,gesture_1
0.55,0.5,9.31,gesture_1
0.36,0.59,9.72,gesture_1
0.59,0.26,10.23,gesture_1
0.56,0.47,9.35,gesture_1
0.38,0.66,9.48,gesture_1
0.35,1.15,9.8,gesture_1
0.56,0.44,9.43,gesture_1
0.38,0.63,9.53,gesture_1
0.59,0.53,8.57,gesture_1
0.56,0.46,9.49,gesture_1
0.53,0.83,9.47,gesture_1
0.59,0.54,9.26,gesture_1
0.02,-5.28,15.3,gesture_1
0.26,-0.26,10.18,gesture_1
0.58,0.49,9.26,gesture_1
0.59,0.86,9.94,gesture_1
0.6,0.53,9.21,gesture_1
